"DateTime","Container","Dry Bulk","General Cargo","Roll-on/roll-off","Tanker","7-day Moving Average","Prior Year: 7-day Moving Average"
"2023-12-18 00:00:00",581495,238378,21262,8171,1951187,3828786.5714285714,4237830
"2023-12-19 00:00:00",442275,660193,21238,6317,2401431,3861755.4285714286,4072214
"2023-12-20 00:00:00",335333,678264,13180,6311,2314075,3834071.1428571427,4084185.1428571427
"2023-12-21 00:00:00",529656,663632,5300,1721,3613860,3849110.8571428573,4150017.4285714286
"2023-12-22 00:00:00",555502,482120,17811,0,2377213,3679245.4285714286,4167483.8571428573
"2023-12-23 00:00:00",153726,590398,4601,6492,2090755,3517531.714285714,4095104.5714285714
"2023-12-24 00:00:00",398818,700010,25744,4318,1989630,3412918.4285714286,4126440.285714286
"2023-12-25 00:00:00",306145,593014,32150,3339,2834557,3551305.8571428573,4026765.8571428573
"2023-12-26 00:00:00",350205,294893,24515,8579,3394539,3628631.285714286,4156790.8571428573
"2023-12-27 00:00:00",560400,685910,6185,6160,1584887,3556685.4285714286,4095024.4285714286
"2023-12-28 00:00:00",397788,541238,51108,0,3148570,3460190.5714285714,3843014
"2023-12-29 00:00:00",605627,414904,48468,4624,2643457,3500824.1428571427,3878563.8571428573
"2023-12-30 00:00:00",377103,437342,63145,4660,3160487,3671790.714285714,4022451.4285714286
"2023-12-31 00:00:00",249014,256764,10823,0,2984590,3726458,3868390.285714286
"2024-01-01 00:00:00",111953,409169,2344,6096,2970134,3687956.714285714,3985177.1428571427
"2024-01-02 00:00:00",350487,757570,11109,5707,2045498,3559048,3729074.714285714
"2024-01-03 00:00:00",407122,595480,47096,0,2842619,3708873,3567479.5714285714
"2024-01-04 00:00:00",408356,546301,23994,9077,2511834,3617567,3874852.1428571427
"2024-01-05 00:00:00",250392,606717,32479,1535,2772213,3609889.285714286,3941383.1428571427
"2024-01-06 00:00:00",317780,398234,0,11626,2336352,3470068.285714286,3798473.4285714286
"2024-01-07 00:00:00",416642,459115,3248,8328,2791233,3495407.5714285714,3880093.8571428573
"2024-01-08 00:00:00",162937,773920,30180,3820,2165527,3443505.8571428573,3771921.4285714286
"2024-01-09 00:00:00",94729,176302,20347,8328,2241549,3353632.1428571427,3796673.5714285714
"2024-01-10 00:00:00",783216,861573,7812,3441,2204135,3675811.5714285714,3981088.4285714286
"2024-01-11 00:00:00",92003,450018,27519,3777,3705153,3571498,4003638.714285714
"2024-01-12 00:00:00",343448,428698,20704,2247,2906317,3429603.285714286,4006062.714285714
"2024-01-13 00:00:00",500372,484426,16781,3082,2769968,3467925.8571428573,4042937.1428571427
"2024-01-14 00:00:00",425479,460740,35720,5897,2099491,3353869.5714285714,4074524.714285714
"2024-01-15 00:00:00",352978,517158,8913,2192,3925487,3748080.1428571427,4227238.142857143
"2024-01-16 00:00:00",296305,675363,3911,11739,3120216,3936613.285714286,4022416
"2024-01-17 00:00:00",453119,486362,25811,12117,3008421,3954563.4285714286,4067814.285714286
"2024-01-18 00:00:00",301921,450202,16117,7573,2290239,3781360.714285714,4175269.8571428573
"2024-01-19 00:00:00",279929,608566,23083,3825,2288870,3710340.8571428573,4076876.5714285714
"2024-01-20 00:00:00",490835,907668,18258,6833,1615197,3605221.1428571427,3938702.5714285714
"2024-01-21 00:00:00",648868,276605,8957,2794,2249372,3627973.8571428573,4075870.714285714
"2024-01-22 00:00:00",524743,536726,25869,17290,3094890,3541229.8571428573,3951340.1428571427
"2024-01-23 00:00:00",558905,716312,5041,8823,1975258,3420773.4285714286,3997930
"2024-01-24 00:00:00",409194,262226,23783,9511,2803321,3352517.1428571427,4141884.4285714286
"2024-01-25 00:00:00",466852,435620,2239,6651,3322504,3519347.8571428573,3912418.8571428573
"2024-01-26 00:00:00",282971,342570,46118,2553,1681426,3398114,4065591.5714285714
"2024-01-27 00:00:00",492235,634521,22224,6429,2961580,3552142.1428571427,3992372
"2024-01-28 00:00:00",360586,481483,38620,5691,2756718,3617356.714285714,3756031.285714286
"2024-01-29 00:00:00",468128,449282,20672,8854,2362167,3490154.5714285714,3694485.285714286
"2024-01-30 00:00:00",308392,298105,25175,2324,2626454,3489599.1428571427,3684626.285714286
"2024-01-31 00:00:00",364910,750870,0,17531,2679923,3533199,3514044.5714285714
"2024-02-01 00:00:00",401014,500733,5149,0,3065904,3495903.8571428573,3476397.8571428573
"2024-02-02 00:00:00",440080,828854,0,2636,3534094,3845907.4285714286,3533623.285714286
"2024-02-03 00:00:00",528267,683728,10754,2106,2090863,3731440,3602563.1428571427
"2024-02-04 00:00:00",462907,394120,21604,0,1852577,3601169.8571428573,3705774
"2024-02-05 00:00:00",414471,288446,21163,3376,2041664,3524029.1428571427,3675204.714285714
"2024-02-06 00:00:00",442944,391559,5027,12910,1760204,3431485.5714285714,3804590.714285714
"2024-02-07 00:00:00",581080,756370,8224,11222,2615648,3454244,3787628.1428571427
"2024-02-08 00:00:00",428207,175211,11475,6755,3119475,3421147.4285714286,3962346.714285714
"2024-02-09 00:00:00",694583,675782,21322,10875,1134678,3097087.285714286,3682136.8571428573
"2024-02-10 00:00:00",525977,716284,15976,0,3181012,3257591.8571428573,3686555.714285714
"2024-02-11 00:00:00",369276,621846,62141,4189,3389006,3502627.5714285714,3593902.1428571427
"2024-02-12 00:00:00",382199,461855,38411,0,3192008,3689106.714285714,3771738.5714285714
"2024-02-13 00:00:00",407320,568566,30622,7281,2429413,3807757.714285714,3752395.714285714
"2024-02-14 00:00:00",579657,388487,22455,0,2931805,3800595,3791304.5714285714
"2024-02-15 00:00:00",647916,644987,29891,9433,2475129,3810056.714285714,3741651
"2024-02-16 00:00:00",408410,695432,11221,4870,3248080,4071595.4285714286,3829926.5714285714
"2024-02-17 00:00:00",269383,379351,18632,0,2980493,3958539.5714285714,3722318.285714286
"2024-02-18 00:00:00",474790,658482,1574,13338,1869376,3754411.5714285714,3600303.1428571427
"2024-02-19 00:00:00",433840,214378,60523,16799,3300481,3747490,3533034.4285714286
"2024-02-20 00:00:00",202967,704726,26410,5883,2543717,3753275.8571428573,3524720.8571428573
"2024-02-21 00:00:00",306180,529339,8335,4949,3589256,3826940.714285714,3488154.4285714286
"2024-02-22 00:00:00",469066,282338,27833,4912,2751549,3788132.4285714286,3580166.5714285714
