Rank,Name,Salary
475,Jacob Toppin,1119563
475,Marcus Bagley,1119563
475,Toumani Camara,1119563
475,George Conditt,1119563
475,Rayan Rupert,1119563
475,Mouhamadou Gueye,1119563
475,Kevin Obanor,1119563
475,Taevion Kinsey,1119563
475,Nick Ongenda,1119563
475,Chase Audige,1119563
475,Dejan Vasiljevic,1119563
518,Nathan Knight,940500
519,Neemias Queta,809782
520,Nik Stauskas,702311
521,Juwan Morgan,576230
522,Leaky Black,559782
522,Craig Porter,559782
522,Jordan Miller,559782
522,Alex Fudge,559782
522,Omari Moore,559782
522,Jaylen Clark,559782
522,Jaylen Martin,559782
522,Trent Forrest,559782
522,Seth Lundy,559782
522,Miles Norris,559782
522,JD Davison,559782
522,Jay Scrubb,559782
522,Armoni Brooks,559782
522,Jalen Wilson,559782
522,Amari Bailey,559782
522,Onuralp Bitim,559782
522,Adama Sanogo,559782
522,Emoni Bates,559782
522,Isaiah Mobley,559782
522,AJ Lawson,559782
522,Mike Miles,559782
522,Collin Gillespie,559782
522,Jay Huff,559782
522,Braxton Key,559782
522,Malcolm Cazalon,559782
522,Jared Rhoden,559782
522,Lester Quinones,559782
522,Darius Days,559782
522,Trevor Hudgins,559782
522,Jermaine Samuels,559782
522,Kendall Brown,559782
522,Oscar Tshiebwe,559782
522,Isaiah Wong,559782
522,Moussa Diabate,559782
522,Colin Castleton,559782
522,D'Moi Hodge,559782
522,Jacob Gilyard,559782
522,GG Jackson,559782
522,Vince Williams Jr,559782
522,Jamaree Bouyea,559782
522,Jamal Cain,559782
522,Dru Smith,559782
522,TyTy Washington,559782
522,Lindell Wigginton,559782
522,Luka Garza,559782
522,Dereon Seabron,559782
522,Dylan Windler,559782
522,Keyontae Johnson,559782
522,Olivier Sarr,559782
522,Lindy Waters III,559782
522,Kevon Harris,559782
522,Ricky Council,559782
522,Terquavion Smith,559782
522,Azuolas Tubelis,559782
522,Udoka Azubuike,559782
522,Saben Lee,559782
522,Ibou Badji,559782
522,John Butler,559782
522,Keon Ellis,559782
522,Jordan Ford,559782
522,Jalen Slawson,559782
522,Dominick Barlow,559782
522,Seth Millner,559782
522,Sir'Jabari Rice,559782
522,Javon Freedom-Liberty,559782
522,Ron Harper Jr,559782
522,Markquis Nowell,559782
522,Joey Hauser,559782
522,Johnny Juzang,559782
522,Micah Potter,559782
522,Jared Butler,559782
522,Eugene Omoruyi,559782
594,Malik Fitts,555217
595,Nerlens Noel,300000
596,Didi Louzada,268032
