DBN,School Name,School Code,Borough,Beginning Balance,Total Income,Total Expenses,Ending Balance,# Asian,% Asian,# Black,% Black,# Hispanic,% Hispanic,# Multiple Race Categories Not Represented,% Multiple Race Categories Not Represented,# White,% White,%NonWhite,# Students with Disabilities,% Students with Disabilities,# English Language Learners,% English Language Learners,# Poverty,% Poverty,Economic Need Index,Total Enrollment,Raised per student
31R044,P.S. 044 Thomas C. Brown,R044,R,"$2,500.00 ","$57,025.00 ","$53,890.00 ","$3,135.00 ",30,3.90%,297,38.50%,389,50.40%,37,4.80%,19,2.50%,97.50%,240,31.10%,58,7.50%,725,93.90%,91.90%,772,$73.87 
31R075,I.S. 075 Frank D. Paulo,R075,R,"$31,030.35 ","$105,822.26 ","$70,842.77 ","$34,979.49 ",144,9.90%,25,1.70%,181,12.40%,33,2.30%,1072,73.70%,26.30%,329,22.60%,26,1.80%,596,41.00%,28.00%,1455,$72.73 
30Q280,P.S. 280,Q280,Q,"$8,795.76 ","$45,207.62 ","$41,013.46 ","$4,194.16 ",46,7.40%,8,1.30%,555,89.20%,6,1.00%,7,1.10%,98.90%,85,13.70%,196,31.50%,594,95.50%,81.00%,622,$72.68 
14K250,P.S. 250 George H. Lindsay,K250,K,"$2,514.13 ","$33,330.08 ","$31,358.98 ","$1,971.10 ",82,17.70%,60,13.00%,313,67.70%,2,0.40%,5,1.10%,98.90%,74,16.00%,52,11.30%,361,78.10%,83.00%,462,$72.14 
26Q018,P.S. 018 Winchester,Q018,Q,"$8,357.00 ","$42,422.06 ","$43,278.52 ","$7,500.54 ",364,61.70%,77,13.10%,85,14.40%,11,1.90%,53,9.00%,91.00%,89,15.10%,64,10.80%,346,58.60%,44.60%,590,$71.90 
30Q228,The Ivan Lafayette Early Childhood School of the Arts,Q228,Q,"$2,487.33 ","$21,733.83 ","$17,715.86 ","$4,018.07 ",23,7.60%,2,0.70%,262,86.20%,5,1.60%,12,3.90%,96.10%,67,22.00%,143,47.00%,257,84.50%,77.00%,304,$71.49 
20K127,P.S. 127 Mckinley Park,K127,K,"$4,071.66 ","$36,186.00 ","$37,967.83 ","$2,289.83 ",207,40.70%,4,0.80%,118,23.20%,6,1.20%,173,34.10%,65.90%,106,20.90%,121,23.80%,412,81.10%,65.00%,508,$71.23 
24Q091,P.S. 091 Richard Arkwright,Q091,Q,"$11,861.64 ","$52,470.21 ","$45,868.69 ","$6,601.52 ",23,3.10%,15,2.00%,378,51.30%,4,0.50%,317,43.00%,57.00%,135,18.30%,81,11.00%,477,64.70%,52.90%,737,$71.19 
30Q069,P.S. 069 Jackson Heights,Q069,Q,"$2,300.00 ","$72,134.64 ","$70,503.99 ","$1,630.65 ",516,50.70%,6,0.60%,394,38.70%,23,2.30%,79,7.80%,92.20%,122,12.00%,217,21.30%,614,60.30%,65.90%,1018,$70.86 
24Q016,P.S. Q016 The Nancy DeBenedittis School,Q016,Q,"$53,670.71 ","$105,678.51 ","$48,754.76 ","$56,923.75 ",112,7.40%,1,0.10%,1369,90.70%,6,0.40%,21,1.40%,98.60%,293,19.40%,680,45.10%,1283,85.00%,88.20%,1509,$70.03 
31R019,P.S. 019 The Curtis School,R019,R,$292.59 ,"$37,920.22 ","$37,751.41 ",$168.81 ,33,6.00%,73,13.30%,386,70.60%,17,3.10%,38,6.90%,93.10%,154,28.20%,96,17.60%,465,85.00%,82.80%,547,$69.32 
