,Rank,Name,Revenue,revenue(% change),profits in millions,profits % change,assets,market value,change in rank in 1000,employees,change in rank(500 only),measure_up_rank
461,462,ABM Industries,"$5,987.60 ",-0.079,$0.30 ,-0.998,"$3,776.90 ","$3,422.20 ",-,114000,-,85
462,463,Ingredion,"$5,987 ",-0.036,$348 ,-0.157,"$6,858 ","$6,034.60 ",12,12000,12,261
463,464,Chipotle Mexican Grill,"$5,984.60 ",0.071,$355.80 ,0.016,"$5,982.90 ","$39,987.70 ",42,88000,-,399
464,465,Sinclair Broadcast Group,"$5,943 ",0.402,"($2,414)",-52.362,"$13,382 ","$2,167 ",157,11600,-,454
465,466,LPL Financial Holdings,"$5,871.60 ",0.044,$472.60 ,-0.156,"$6,523.60 ","$11,358.60 ",37,4756,-,109
466,467,Crown Castle International,"$5,840 ",0.013,"$1,056 ",0.228,"$38,768 ","$74,392.40 ",29,4900,29,391
467,468,KLA,"$5,806.40 ",0.271,"$1,216.80 ",0.035,"$9,280 ","$50,906.30 ",120,10600,-,-
468,469,Ameren,"$5,794 ",-0.02,$871 ,0.052,"$32,030 ","$20,780.20 ",19,9183,19,286
469,470,KBR,"$5,767 ",0.023,($72),-1.356,"$5,705 ","$5,407 ",31,29000,-,343
470,471,Burlington Stores,"$5,764 ",-0.209,($216.50),-1.465,"$6,781.10 ","$19,835.90 ",-47,35246,-47,221
471,472,Olin,"$5,758 ",-0.058,($969.90),-,"$8,270.90 ","$6,024.10 ",9,8000,9,253
472,473,CACI International,"$5,720 ",0.147,$321.50 ,0.21,"$5,542.50 ","$6,223.50 ",76,22900,-,399
473,474,Post Holdings,"$5,698.70 ",0.003,$0.80 ,-0.994,"$12,146.70 ","$6,804.90 ",25,10200,25,255
474,475,Academy Sports and Outdoors,"$5,689.20 ",0.178,$308.80 ,1.572,"$4,384.50 ","$2,459.20 ",-,16500,-,161
475,476,Arconic,"$5,675 ",-,($109),-,"$6,314 ","$2,792.70 ",-,13400,-,269
476,477,Celanese,"$5,655 ",-0.102,"$1,985 ",1.33,"$10,909 ","$17,104.50 ",-7,7658,-7,316
477,478,Yum Brands,"$5,652 ",0.01,$904 ,-0.301,"$5,852 ","$32,460 ",27,38000,-,116
478,479,Fastenal,"$5,647.30 ",0.059,$859.10 ,0.086,"$3,964.70 ","$28,877.90 ",46,20365,-,399
479,480,Nasdaq,"$5,627 ",0.32,$933 ,0.205,"$17,979 ","$24,300.80 ",140,4830,-,95
480,481,Analog Devices,"$5,603.10 ",-0.065,"$1,220.80 ",-0.104,"$21,468.60 ","$57,208 ",6,15900,6,144
481,482,McCormick,"$5,601.30 ",0.047,$747.40 ,0.064,"$12,089.70 ","$23,808.90 ",41,13000,-,100
482,483,Carvana,"$5,586.60 ",0.418,($171.10),-,"$3,034.50 ","$45,475.40 ",168,10400,-,343
483,484,Franklin Resources,"$5,566.50 ",-0.036,$798.90 ,-0.332,"$20,220.90 ","$14,960 ",9,11800,9,118
484,485,Electronic Arts,"$5,537 ",0.119,"$3,039 ",1.982,"$11,112 ","$38,935.90 ",65,9800,-,307
485,486,MDU Resources Group,"$5,532.80 ",0.037,$390.20 ,0.163,"$8,053.40 ","$6,359.80 ",38,12994,-,397
486,487,Select Medical Holdings,"$5,531.70 ",0.014,$259 ,0.745,"$7,655.40 ","$4,598 ",28,42350,-,399
487,488,Roper Technologies,"$5,527.10 ",0.03,$949.70 ,-0.463,"$24,024.80 ","$42,326.30 ",30,18400,-,399
488,489,RPM International,"$5,507 ",-0.01,$304.40 ,0.142,"$5,631 ","$11,949.90 ",19,14621,-,394
489,490,Cerner,"$5,505.80 ",-0.033,$780.10 ,0.473,"$7,521.10 ","$22,016.40 ",8,26400,8,330
490,491,Patterson,"$5,490 ",-0.015,($588.40),-8.036,"$2,715.40 ","$3,087.50 ",16,7800,-,270
491,492,Commercial Metals,"$5,476.50 ",-0.06,$279.50 ,0.411,"$4,081.70 ","$3,716.50 ",-1,11297,-1,399
492,493,Boise Cascade,"$5,474.80 ",0.179,$175 ,1.162,"$1,965.70 ","$2,353.10 ",86,6040,-,375
493,494,Hasbro,"$5,465.40 ",0.158,$222.50 ,-0.572,"$10,818.40 ","$13,202.20 ",80,6822,-,72
494,495,A-Mark Precious Metals,"$5,461.10 ",0.142,$30.50 ,12.712,$758 ,$360.20 ,70,218,-,399
495,496,Camping World Holdings,"$5,446.60 ",0.113,$122.30 ,-,"$3,256.40 ","$3,452.50 ",59,11427,-,399
496,497,NetApp,"$5,412 ",-0.119,$819 ,-0.299,"$7,522 ","$16,176.40 ",-19,10800,-19,265
497,498,Avis Budget Group,"$5,402 ",-0.411,($684),-3.265,"$17,538 ","$5,067.60 ",-153,17500,-153,33
498,499,R.R. Donnelley & Sons,"$5,398.80 ",-0.14,$98.50 ,-,"$3,130.90 ",$289.90 ,-28,33000,-28,454
499,500,Moody's,"$5,371 ",0.112,"$1,778 ",0.25,"$12,409 ","$55,884.80 ",61,11490,-,110
500,501,Cleveland-Cliffs,"$5,354 ",1.691,($122),-1.417,"$16,771 ","$10,033 ",-,25000,-,-
501,502,Agilent Technologies,"$5,339 ",0.034,$719 ,-0.329,"$9,627 ","$38,739.20 ",35,16400,-,-
502,503,Tutor Perini,"$5,318.80 ",0.195,$108.40 ,-,"$5,045.60 ",$964.80 ,97,8700,-,-
503,504,ADT,"$5,314.80 ",0.037,($632.20),-,"$16,116.90 ","$6,893.60 ",37,20500,-,-
504,505,Microchip Technology,"$5,274.20 ",-0.014,$570.60 ,0.603,"$17,426.10 ","$41,794.80 ",17,18000,-,-
505,506,Michaels,"$5,271.10 ",0.039,$294.90 ,0.082,"$4,528.40 ","$3,108 ",38,28000,-,-
506,507,Howmet Aerospace,"$5,259 ",-0.629,$261 ,-0.445,"$11,443 ","$13,932 ",-281,19700,-,-
507,508,Hertz Global Holdings,"$5,258 ",-0.462,"($1,714)",-,"$16,908 ",$268.70 ,-182,24000,-,-
508,509,ON Semiconductor,"$5,255 ",-0.048,$234.20 ,0.106,"$8,668 ","$17,138.40 ",3,32750,-,-
509,510,Huntington Bancshares,"$5,238 ",-0.074,$817 ,-0.421,"$123,038 ","$16,071.90 ",-10,15578,-,-
510,511,Sonoco Products,"$5,237.40 ",-0.025,$207.50 ,-0.289,"$5,277.30 ","$6,367.80 ",6,20000,-,-
511,512,Telephone & Data Systems,"$5,225 ",0.009,$226 ,0.868,"$12,525 ","$2,625.80 ",24,9200,-,-
512,513,Chesapeake Energy,"$5,210 ",-0.386,-,-,"$6,584 ","$4,248.20 ",-140,1300,-,-
513,514,Kemper,"$5,205.70 ",0.033,$409.90 ,-0.228,"$14,341.90 ","$5,229.20 ",31,9500,-,-
514,515,Expedia Group,"$5,199 ",-0.569,"($2,612)",-5.623,"$18,690 ","$24,762 ",-252,19100,-,-
515,516,TransDigm Group,"$5,182 ",-0.061,$699 ,-0.214,"$18,395 ","$32,152.70 ",-3,14200,-,-
516,517,MGM Resorts International,"$5,162.10 ",-0.6,"($1,032.70)",-1.504,"$36,494.90 ","$18,805.20 ",-268,48500,-,-
