player_id,game_id,team_id,timeOnIce,assists,goals,shots,hits,powerPlayGoals,powerPlayAssists,penaltyMinutes,faceOffWins,faceoffTaken,takeaways,giveaways,shortHandedGoals,shortHandedAssists,blocked,plusMinus,evenTimeOnIce,shortHandedTimeOnIce,powerPlayTimeOnIce
8479351,131236337230,1560,60624,16,6,85,24.0,1,7,20,369,734,25.0,37.0,0,0,25.0,-13,52573,1275,6776
8479353,141331439748,210,55199,10,9,64,69.0,1,1,28,251,521,25.0,25.0,0,2,67.0,-11,45543,8439,1217
8479356,16152167056,16,5112,1,2,11,12.0,0,0,2,0,0,2.0,5.0,0,0,4.0,3,5107,0,5
8479358,30285302921,60,9609,0,1,14,40.0,0,0,4,0,2,6.0,0.0,0,0,8.0,-2,9348,230,31
8479359,6057061063,45,1669,0,0,4,5.0,0,0,0,0,0,1.0,0.0,0,0,1.0,-1,1383,286,0
8479364,4038040679,6,1006,1,0,3,5.0,0,0,0,0,2,0.0,0.0,0,0,1.0,1,935,54,17
8479365,4038040597,12,771,0,0,1,8.0,0,0,0,0,0,0.0,0.0,0,0,0.0,-1,771,0,0
8479366,46437468919,207,16225,7,1,23,13.0,1,2,4,55,134,10.0,16.0,0,0,11.0,0,13496,69,2660
8479368,119122213966,1416,50505,4,8,102,82.0,0,1,36,11,27,19.0,32.0,1,0,18.0,-6,46231,2535,1739
8479369,44418457722,638,18290,2,1,23,25.0,0,0,4,0,0,3.0,8.0,0,0,21.0,1,17969,321,0
8479370,135274377939,1407,51324,15,8,115,58.0,1,4,22,85,255,17.0,12.0,0,0,18.0,11,43409,1106,6809
8479371,129217314732,1152,73057,6,5,92,54.0,1,0,38,0,0,23.0,39.0,0,0,85.0,-7,69775,1909,1373
8479372,22209223554,264,10710,3,1,11,2.0,0,0,2,0,0,2.0,5.0,0,0,11.0,-3,9614,51,1045
8479376,102970043842,408,48936,7,4,57,20.0,0,1,20,0,0,8.0,35.0,0,0,60.0,5,46836,1900,200
8479379,42399433055,357,12200,1,2,22,42.0,0,0,9,0,0,2.0,6.0,0,0,3.0,-2,10518,0,1682
8479381,24228241892,300,7175,1,1,13,17.0,0,0,4,1,2,1.0,2.0,0,0,3.0,2,7053,113,9
